ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,9245,TEXTRANK.TXT,0.57914,0.57914,0.57914,1

ROUGE-2+StopWordRemoval,9245,TEXTRANK.TXT,0.37184,0.37184,0.37184,1

ROUGE-3+StopWordRemoval,9245,TEXTRANK.TXT,0.29348,0.29348,0.29348,1

ROUGE-1+StopWordRemoval,90463,TEXTRANK.TXT,0.34123,0.36735,0.35381,1

ROUGE-2+StopWordRemoval,90463,TEXTRANK.TXT,0.06667,0.07179,0.06914,1

ROUGE-3+StopWordRemoval,90463,TEXTRANK.TXT,0.00478,0.00515,0.00496,1

ROUGE-1+StopWordRemoval,90183,TEXTRANK.TXT,0.79048,1.00000,0.88298,1

ROUGE-2+StopWordRemoval,90183,TEXTRANK.TXT,0.78947,1.00000,0.88235,1

ROUGE-3+StopWordRemoval,90183,TEXTRANK.TXT,0.78846,1.00000,0.88172,1

ROUGE-1+StopWordRemoval,97771,TEXTRANK.TXT,0.35455,0.36449,0.35945,1

ROUGE-2+StopWordRemoval,97771,TEXTRANK.TXT,0.10046,0.10329,0.10185,1

ROUGE-3+StopWordRemoval,97771,TEXTRANK.TXT,0.03670,0.03774,0.03721,1

ROUGE-1+StopWordRemoval,10514,TEXTRANK.TXT,0.30970,0.90217,0.46111,1

ROUGE-2+StopWordRemoval,10514,TEXTRANK.TXT,0.22846,0.67033,0.34078,1

ROUGE-3+StopWordRemoval,10514,TEXTRANK.TXT,0.17293,0.51111,0.25843,1

ROUGE-1+StopWordRemoval,89912,TEXTRANK.TXT,0.59480,0.64257,0.61776,1

ROUGE-2+StopWordRemoval,89912,TEXTRANK.TXT,0.46642,0.50403,0.48450,1

ROUGE-3+StopWordRemoval,89912,TEXTRANK.TXT,0.41948,0.45344,0.43580,1

ROUGE-1+StopWordRemoval,535,TEXTRANK.TXT,0.28641,0.29208,0.28922,1

ROUGE-2+StopWordRemoval,535,TEXTRANK.TXT,0.06829,0.06965,0.06897,1

ROUGE-3+StopWordRemoval,535,TEXTRANK.TXT,0.00490,0.00500,0.00495,1

ROUGE-1+StopWordRemoval,89756,TEXTRANK.TXT,0.66142,0.69421,0.67742,1

ROUGE-2+StopWordRemoval,89756,TEXTRANK.TXT,0.57312,0.60166,0.58704,1

ROUGE-3+StopWordRemoval,89756,TEXTRANK.TXT,0.53175,0.55833,0.54472,1

ROUGE-1+StopWordRemoval,89874,TEXTRANK.TXT,0.79638,1.00000,0.88665,1

ROUGE-2+StopWordRemoval,89874,TEXTRANK.TXT,0.79545,1.00000,0.88608,1

ROUGE-3+StopWordRemoval,89874,TEXTRANK.TXT,0.79452,1.00000,0.88550,1

ROUGE-1+StopWordRemoval,11444,TEXTRANK.TXT,0.38136,0.39823,0.38961,1

